Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
